Case Id,Prefix length,Trace Prefix Act,Ground truth,Predicted,Damerau-Levenshtein,Jaccard,Weight
Case 1,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 100,1,¡,¢¥­£¤,¢£¤,0.6,0.6,0.0
Case 1001,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1007,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1010,1,¡,¢¥­£¤,¢£¤,0.6,0.6,0.0
Case 1017,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1019,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1023,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1026,1,¡,¢¥­£¤,¢£¤,0.6,0.6,0.0
Case 1027,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1043,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 105,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1054,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1057,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 106,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 107,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1070,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1075,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1079,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1087,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1088,1,¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.0
Case 1096,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1101,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1102,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1104,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1109,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1110,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1111,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1112,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1113,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
Case 1116,1,¡,¢¥£¤,¢£¤,0.75,0.75,0.0
